id_cliente,nome_cliente,cpf,telefone,email,score,qtd_contas,contas_ativas,saldo_total,qtd_emprestimos,emprestimos_ativos,emprestimos_quitados,valor_em_aberto,qtd_transacoes,volume_transacionado,qtd_cartoes,cartoes_ativos,farol,parecer
11,Josué Nascimento Sousa,08963754200,01962698399,melinapereira@souza.com.br,80.82,1,0,630971.52,3,1,1,997588.48,32,44321.58,2,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
12,Enzo da Costa Farias,08273591441,00985687455,costarafael@melo.gov.br,470.46,3,1,1378978.94,4,1,0,2806854.42,59,27110.7,5,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
13,João Vitor Nunes Siqueira,74238091523,65908781725,piresjoaquim@siqueira.com,669.77,2,1,135323.73,4,0,3,0.0,24,14343.13,2,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
14,Sophia Garcia Correia,25067394838,07905725202,maria-isisda-conceicao@ribeiro.com.br,394.7,2,0,664239.31,3,1,1,243875.2,33,12203.64,2,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
15,José Miguel Viana Martins,78410625911,48983696298,lcostela@da.com.br,917.53,1,1,481984.32,3,1,0,261155.04,16,12321.9,1,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
16,Apollo Pires Ramos,21486703950,83954244965,joao-guilhermecaldeira@leao.gov.br,699.94,1,1,74617.92,2,1,0,644907.9,39,35019.6,2,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
17,Rodrigo Moraes da Conceição,90458126730,35904571338,fernandovasconcelos@rezende.com.br,630.0,3,1,5623464.6,7,1,2,1503774.9,89,151743.45,8,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
18,Ayla Brito da Mata,67154832991,77921158666,gaelnascimento@cardoso.gov.br,944.76,3,0,2601808.47,7,2,1,1938511.55,67,99361.5,8,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
19,Mathias Fogaça da Paz,65812043744,76904591556,lucascirino@sa.gov.br,97.7,1,0,943468.5,1,0,0,0.0,50,35701.23,3,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
20,Théo Viana Martins,04693817287,00982933367,qramos@oliveira.com,955.74,3,1,1463911.08,4,1,1,3396161.52,56,54904.66,7,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
21,Arthur Gabriel Barros Cavalcante,03157289497,96974774393,vda-paz@da.com,210.24,3,0,4223505.6,7,3,3,6299470.71,98,147996.26,8,2,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
22,Davi Miguel Abreu Garcia,14329087669,47933671322,isadoradas-neves@mendonca.br,660.4,2,1,6962903.64,6,1,3,5052021.39,77,187962.21,6,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
23,Matheus Moura Sousa,48653912070,69978863799,dmoraes@fogaca.gov.br,713.53,3,0,726500.68,5,2,3,1819943.52,95,104279.92,6,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
24,Ana Carolina Costela Lima,08657423162,65959281699,enrico90@novaes.org,265.88,3,1,1398426.56,8,3,2,3981038.7,64,86751.88,5,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
25,Alícia Rios Albuquerque,28135694709,66988840279,joao-vitor85@machado.com.br,970.55,1,1,1209281.4,3,1,2,1413143.28,27,38057.46,2,0,VERDE,Cliente seguro. Baixo risco de inadimplência.
26,Benício Duarte Albuquerque,57413802635,42966066426,maragao@monteiro.com.br,842.2,3,1,1080036.96,7,1,1,661406.94,47,32852.02,4,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
27,João Lucas da Cunha da Conceição,23847509683,51935239008,joao-miguelrodrigues@carvalho.org,633.54,3,1,825110.82,8,0,1,0.0,54,31173.46,3,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
28,Sophie Duarte da Rocha,24763910507,05958708518,fernandesana-beatriz@campos.com.br,298.44,2,1,1810293.3,6,1,2,562836.6,38,51041.64,4,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
29,Kevin Cassiano Macedo,83291507630,59927191145,ncarvalho@aparecida.gov.br,613.18,1,1,101872.1,2,1,0,86664.49,11,4390.82,1,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
30,Maysa das Neves Cavalcanti,17624583062,38909389253,pastorantonio@moraes.com,366.76,1,0,846099.76,2,0,1,0.0,22,15403.44,2,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
31,Ana Luiza Nogueira Souza,78019356401,11948699556,anthony-gabrielduarte@vargas.net,455.65,2,2,684467.4,2,0,0,0.0,37,15539.09,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
32,Thomas Novaes Nogueira,91872350640,01992540751,kpastor@da.br,957.5,1,0,37961.28,2,0,0,0.0,48,74211.72,3,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
33,Maria Fernanda Brito Cunha,26054189360,36946602608,isis80@ribeiro.com,126.19,3,1,3326740.56,5,2,2,2129794.29,79,75901.97,6,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
34,Lorena Guerra Santos,16972085330,42952847591,melojoao-miguel@siqueira.com,337.19,3,1,1791279.69,5,0,1,0.0,79,90399.38,8,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
35,Emanuella Moraes Costa,74813205941,70924582461,andrademarcos-vinicius@camara.edu.br,760.73,3,1,1156579.5,9,3,1,3015835.82,52,70207.17,5,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
36,Mariana Pereira da Paz,36948510701,33947598597,dgarcia@siqueira.gov.br,529.3,3,1,6286154.22,9,2,2,3418241.08,71,148379.49,8,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
37,Vitória Borges Lima,70912435879,53996607372,meloanna-liz@da.org,514.67,1,1,2392960.8,2,1,0,128322.12,34,49939.38,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
38,Nicole da Paz da Paz,80179236512,22924750712,erickrocha@brito.br,342.61,1,0,98795.76,1,1,0,587236.8,24,4919.35,1,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
39,Fernando Rodrigues da Rosa,04892136778,20924015499,guerramaria-cecilia@nogueira.com,697.65,2,0,1469246.82,3,1,0,60856.62,57,50631.86,5,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
40,Olivia Costela Pinto,70258491620,60922681348,muriloda-cunha@costa.br,513.66,1,0,1416480.0,1,0,1,0.0,50,39269.49,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
41,Lucas Gabriel Pinto Pires,63452897109,25983991900,da-cruzapollo@novaes.br,585.45,3,0,934330.44,3,0,2,0.0,68,20776.39,4,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
42,Ravy Mendes Leão,78941256011,85956194721,ipacheco@da.gov.br,801.77,2,0,1098270.26,3,0,3,0.0,41,26429.35,3,0,VERDE,Cliente seguro. Baixo risco de inadimplência.
43,Allana Fernandes Costela,84397015600,67904016752,luiz-gustavolima@abreu.net,377.78,1,0,14784.28,2,1,1,1771005.96,19,17092.48,2,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
44,Júlia Freitas Siqueira,25083971640,32978629872,maria-sophia73@sales.org,259.33,3,0,2776227.52,6,2,1,3746570.01,65,102910.54,5,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
45,Murilo Aragão Lima,78130569221,69977273452,luana93@pacheco.net,59.31,3,0,3899973.78,7,1,1,15277.92,94,133748.67,7,2,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
46,Vinicius Martins Gonçalves,93026175803,47999776830,sophie72@da.edu.br,372.1,3,2,2504249.4,6,3,0,10107965.4,81,103906.53,8,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
47,Sara Vieira Vieira,92541678355,86976365195,diascarolina@pinto.com.br,730.16,3,2,6781404.0,7,2,3,4287205.44,86,148200.46,7,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
48,Davi Lucca Farias Sousa,59708132659,23984511719,andre49@melo.com.br,594.89,3,2,3669892.96,6,0,1,0.0,66,66223.24,5,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
49,Asafe Porto Garcia,04956731884,51933870623,marquesgiovanna@da.gov.br,51.64,1,0,262968.24,1,0,0,0.0,17,13287.6,3,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
50,Stephany da Mota Costela,24983056700,92907606469,natalia83@barbosa.edu.br,201.74,1,1,273646.8,2,0,1,0.0,21,32752.32,3,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
51,Jade Rios Mendes,02573849104,22903327838,mathiasazevedo@guerra.org,535.0,3,1,1496207.64,9,4,3,2721576.88,40,69449.31,5,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
52,Luiz Henrique Siqueira Leão,63920418778,99936462196,silvathales@da.br,389.95,2,2,2162690.1,3,1,0,1122023.7,48,43888.81,5,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
53,Nina da Mata da Mata,74685102371,27948202200,thomas60@costa.gov.br,492.5,1,0,259469.52,2,1,0,399725.76,12,5110.64,1,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
54,Nicole da Cruz Novaes,40589637274,99962698302,wnogueira@duarte.com.br,627.85,1,1,54208.44,3,2,0,1510924.22,26,16369.95,1,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
55,Ayla Lima Freitas,85023496198,35919662418,livia04@carvalho.gov.br,837.9,1,1,757032.39,3,1,0,2363937.06,19,42974.82,3,0,VERDE,Cliente seguro. Baixo risco de inadimplência.
56,Benjamim da Rosa Moraes,60794128378,79944904588,nicolevasconcelos@silva.com,958.04,2,0,1446925.62,5,2,1,8753624.52,53,75551.07,4,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
57,Maria Clara Cavalcanti Barbosa,79301546884,36980278977,gustavo-henriqueda-mata@dias.com,168.89,2,0,413203.83,2,0,0,0.0,41,22578.38,4,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
58,Nicolas Câmara Moura,28615097321,37952704603,oandrade@costela.net,977.46,2,0,856610.76,3,1,0,1035968.4,66,38547.29,4,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
59,Alexandre Pastor Viana,67109248585,22973774700,daniela79@mendes.org,345.83,3,1,4233739.05,7,2,2,1780424.76,67,115848.73,6,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
60,Guilherme Costa Cavalcante,14857209667,33916303302,gabrielly24@ramos.br,441.5,1,0,643395.2,2,0,0,0.0,16,16734.84,2,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
61,Otto Machado Siqueira,83410596739,53925877241,sborges@azevedo.com,764.85,1,1,21522.24,2,0,1,0.0,27,31893.64,2,0,VERDE,Cliente seguro. Baixo risco de inadimplência.
62,Renan Porto Casa Grande,20451893760,20979594307,pabreu@rocha.org,427.02,1,0,3032429.4,2,1,0,1340047.44,34,55680.0,3,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
63,Ana Clara Gonçalves Viana,72385094665,35934668369,erickcorreia@abreu.com,259.31,2,0,1547543.08,2,1,0,91181.2,66,44113.08,5,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
64,Ravi Lucca Rios Abreu,23169578030,34952435623,almeidaravy@da.br,836.8,2,1,2866785.68,5,2,1,4518035.84,55,62298.38,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
65,Vicente Albuquerque Rezende,07253614844,61967016812,yda-rosa@mendonca.com.br,955.45,3,1,6661224.99,8,2,2,5345944.8,107,187951.6,7,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
66,Maria Fernanda Carvalho Melo,04257896167,26947306243,luanaoliveira@ribeiro.net,203.57,3,1,3379152.24,6,2,0,4140160.41,103,127388.88,7,2,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
67,Lucca Garcia Albuquerque,46719805258,22984087502,laura21@dias.gov.br,307.45,1,0,192192.96,2,2,0,1119258.96,24,13121.26,1,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
68,Isabelly Fogaça Câmara,84193506720,86913548026,lda-rosa@pinto.gov.br,746.36,2,0,1957917.48,4,0,0,0.0,54,66378.83,3,2,VERDE,Cliente seguro. Baixo risco de inadimplência.
69,Thiago da Mota Costa,79813042532,81906019267,lunnamachado@moreira.gov.br,462.7,2,0,1426032.4,3,0,2,0.0,38,32820.92,4,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
70,Hadassa Mendes Lima,20571963480,64900048695,lorena92@novaes.com,926.18,3,1,2213290.32,6,0,2,0.0,84,79812.52,5,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
71,Apollo Ramos Pinto,64057189300,26934943113,vitor-gabriel43@peixoto.gov.br,140.73,3,1,2094389.4,7,2,2,621279.23,57,50416.3,4,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
72,Bárbara Cirino Novais,39045162806,15948815203,moreiraesther@brito.com,572.02,3,1,2704948.02,7,3,1,4047309.3,91,115722.48,7,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
73,Samuel Siqueira Duarte,91087624576,72930928541,caroline48@farias.net,916.28,3,1,1151058.87,7,3,1,1376496.11,58,52164.24,6,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
74,José Barros da Conceição,38064291704,00915575803,ravy38@moraes.br,73.31,3,0,5816548.56,7,1,3,468937.8,84,116538.54,8,2,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
75,Antonella Leão Pereira,89167034500,49960437561,mcarvalho@gomes.gov.br,646.21,1,0,319929.6,3,2,1,787140.0,16,11340.96,1,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
76,João Guilherme Abreu Gonçalves,06714598300,93921999871,raquel82@albuquerque.com.br,922.66,3,0,3226210.35,5,2,1,2005161.5,71,73811.61,6,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
77,José Miguel Monteiro Santos,43291085698,55981557017,agathacorreia@azevedo.com.br,383.84,2,1,630273.69,6,3,1,1618764.81,34,25668.54,2,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
78,Ian Fogaça Almeida,04193726525,19931358149,maria-luisamacedo@lopes.com.br,949.19,2,0,620153.07,5,1,2,178502.89,32,21681.17,2,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
79,Luísa Viana Ribeiro,82513467973,07994222648,goncalvescaroline@mendonca.com.br,465.77,2,2,4531533.54,5,1,2,2343385.89,57,94504.9,5,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
80,Bruno Pereira da Mota,82976305102,14981601536,ianpacheco@garcia.com,434.62,1,0,85542.72,3,2,1,928812.64,16,11773.32,1,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
81,Brayan Marques Machado,18206975330,88991957794,cecilia37@correia.edu.br,196.46,3,1,2918971.92,7,1,2,1708391.04,84,165738.96,9,4,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
82,Ágatha Vargas Freitas,63271589003,51998602473,cecilia97@viana.com.br,224.79,1,0,378003.84,2,1,0,1338507.24,34,30979.48,2,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
83,Isabela Lima Brito,52714386008,76955515587,ana-liviaalmeida@albuquerque.edu.br,422.64,2,0,973040.89,2,0,1,0.0,50,20116.66,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
84,Caio Aragão da Luz,31056872977,67983309585,melohenry-gabriel@nunes.gov.br,511.52,1,1,253682.28,2,1,1,1509911.28,27,28395.6,2,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
85,Ryan Monteiro Cassiano,02754189360,23965246612,gsales@duarte.com,736.81,3,1,3305827.36,7,2,1,4754731.44,76,106420.66,6,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
86,Maria Liz Rezende Dias,45930217823,81976850621,araujoisadora@da.com.br,408.46,2,1,2761170.84,4,2,1,1415573.07,51,52860.28,4,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
87,Pedro Lucas Leão Rodrigues,71265908303,30993644679,bcaldeira@nogueira.gov.br,437.05,1,0,418715.37,1,0,1,0.0,41,29915.73,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
88,Maria Clara Guerra Costela,06923581702,19992724884,thomas42@carvalho.edu.br,419.37,2,2,801343.52,3,1,1,342728.21,34,20610.0,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
89,Enzo Gabriel Silva Aparecida,61529083702,42935319577,laura77@aparecida.com,446.56,1,0,1069775.19,1,1,0,1324238.85,33,24338.43,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
90,Paulo Gonçalves Barros,39018246506,84929742847,ecaldeira@lopes.br,634.37,1,0,37570.96,2,0,0,0.0,23,23986.04,2,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
91,Arthur Almeida Castro,45162039799,60989971987,maria-cecilia05@duarte.gov.br,229.89,2,1,2126159.34,4,2,0,4848705.48,61,67507.14,4,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
92,Beatriz Sousa Sá,89601327568,98987032133,noah54@nascimento.com,68.73,3,3,2551792.59,6,0,3,0.0,84,82692.87,7,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
93,Valentina Dias Fonseca,79346205865,40933597209,da-rochaeloa@castro.org,82.16,3,1,514110.51,4,2,0,1168876.77,54,17629.07,3,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
94,Allana Campos Rodrigues,53861427982,25941232305,carolinapeixoto@sousa.com,843.06,2,1,103613.67,6,2,2,471586.53,21,17438.82,2,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
95,Apollo Gomes Lima,24085739123,90936730576,pauloduarte@lima.com.br,879.5,2,0,6626943.18,6,2,1,6276543.6,70,122491.74,4,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
96,Clarice Novais da Paz,91052487360,26994874464,ecaldeira@barbosa.com.br,890.42,1,1,881282.32,2,0,1,0.0,19,20401.08,2,0,VERDE,Cliente seguro. Baixo risco de inadimplência.
97,Luan Vieira Peixoto,89243657038,01912592122,uvasconcelos@araujo.com.br,974.93,3,1,1375568.26,6,3,2,8409508.61,76,93364.66,6,3,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
98,Enrico Abreu Vieira,49670518202,96984623276,vasconceloslorenzo@lima.edu.br,344.18,3,0,1723952.49,6,2,0,487557.75,55,36936.13,4,3,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
99,Otávio Alves Moreira,06594813242,80991993767,daniel71@barros.br,393.41,2,0,2120832.36,6,1,4,2432771.1,47,72191.31,4,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
100,Luigi Guerra Dias,69472805167,48932732395,alveslarissa@sales.com.br,319.06,3,1,2043535.52,5,2,1,2940201.0,44,44324.62,4,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
101,Zoe Guerra Carvalho,91670254801,37933200638,bernardonovais@rocha.com,578.67,3,2,3420921.06,6,3,0,5748191.24,89,123080.17,8,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
102,Ágatha Moraes da Paz,72148096567,30923385283,cavalcanticarlos-eduardo@porto.com.br,647.97,2,1,4354800.57,5,2,1,4427007.0,44,83317.72,4,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
103,Igor Pimenta da Cruz,24183607922,77960991871,yan45@siqueira.br,865.48,2,0,2689787.79,3,1,0,232901.73,51,56803.65,6,4,VERDE,Cliente seguro. Baixo risco de inadimplência.
104,Rael Nogueira Brito,96352807186,45934981737,agatha10@araujo.com.br,20.67,1,0,422426.4,1,0,0,0.0,15,7949.1,2,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
105,Augusto Aparecida Sousa,60574892338,28943825468,maria-helenacavalcanti@casa.br,377.79,1,0,189711.36,2,1,0,130832.46,18,10182.44,1,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
106,Emilly Aparecida Andrade,54678021949,61929442150,oliviasa@cirino.com.br,789.09,2,1,193595.7,4,0,0,0.0,20,10774.75,2,0,VERDE,Cliente seguro. Baixo risco de inadimplência.
107,Helena Sampaio Pires,32794065106,98945510519,leoda-rocha@moraes.gov.br,982.41,2,0,999725.64,4,0,1,0.0,51,55466.74,4,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
108,Caroline Rios Azevedo,68392054105,55952410525,valentinasantos@abreu.com.br,654.99,2,1,966295.6,3,0,1,0.0,38,35022.16,4,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
109,Kaique Barros da Mata,89260754356,29927851882,alicegarcia@lopes.edu.br,578.61,3,0,1065022.68,4,1,1,2990601.93,81,75927.48,7,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
110,Rebeca Aparecida Farias,16794382555,91944250409,pcardoso@nascimento.com.br,501.61,3,1,237565.76,6,1,1,179891.88,51,26315.82,3,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
111,Maria Luiza Lima Sales,96231574016,62993409843,umartins@martins.com,825.81,3,1,2886821.85,6,2,1,5976828.63,84,113236.68,6,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
112,Maysa da Cruz Pastor,26378910413,32946861861,lunna93@campos.net,539.66,1,0,468470.73,3,1,0,405125.5,13,10654.35,1,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
113,Brenda Gonçalves Silveira,76948510230,53960885542,gmoraes@da.com,161.53,1,0,218365.56,3,3,0,5609118.9,21,32981.82,2,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
114,Ana Cardoso Barbosa,75390821432,68994141402,iandas-neves@alves.com.br,779.45,1,0,755146.35,3,2,1,5716726.05,35,71542.71,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
115,Felipe Cirino Fernandes,68205749167,80937060934,ayllaabreu@da.gov.br,610.11,1,0,1272209.28,1,0,0,0.0,34,26354.1,3,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
116,Gabrielly Leão Santos,56827031462,66948280090,theo67@sampaio.com.br,302.18,2,0,1994137.96,4,1,0,666815.76,61,52006.92,3,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
117,Eloah Sampaio da Luz,35089762112,71928502533,igorda-rocha@rodrigues.org,998.79,3,1,2028279.29,7,2,1,206428.6,64,78901.59,6,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
118,Catarina Fonseca Pacheco,76453980193,23938643596,rodrigueskevin@correia.com,867.52,1,1,308761.6,2,1,0,2991269.4,35,37106.2,2,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
119,Lavínia Gomes Dias,10427586976,70990350893,isabel99@da.gov.br,514.0,3,0,964886.7,5,1,1,76445.6,60,43092.58,5,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
120,Maria Eduarda Teixeira Azevedo,51082476307,70977701387,kevinvieira@novaes.br,236.27,1,0,107123.06,1,0,0,0.0,11,2032.86,1,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
121,João Felipe da Conceição da Costa,70912865458,76906567420,rafaelacastro@da.com,60.93,3,3,2050625.6,6,3,1,6566837.4,72,104157.95,6,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
122,Antony da Costa Nogueira,92713805414,90975533213,enzosa@lopes.gov.br,605.22,1,1,467418.42,1,0,1,0.0,42,33303.42,3,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
123,Larissa Montenegro Vieira,31027856977,77918752939,davi-lucca77@sales.br,885.24,3,1,873101.08,6,2,1,1024888.86,64,89265.03,6,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
124,Maria Clara Vargas Azevedo,61049827511,40920331105,nunesluan@andrade.com,503.07,3,1,3482885.04,7,2,2,1543442.64,65,76702.85,6,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
125,Luiz Henrique Câmara Camargo,69270341887,35993366354,isisgarcia@souza.gov.br,277.99,1,1,140854.28,2,0,0,0.0,14,8265.76,1,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
126,Igor Lopes Leão,17625809340,21902801639,luigi34@oliveira.br,487.98,3,0,3564514.44,7,1,1,1713237.12,72,119868.48,9,3,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
127,Rael Melo Carvalho,54978160294,57953240194,samuelcaldeira@da.gov.br,196.27,3,0,6405338.82,6,2,0,2664465.5,95,130627.54,8,2,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
128,Bernardo da Paz Aparecida,97643501270,63909682183,isabelsilva@mendonca.com.br,42.81,2,1,1343886.52,4,0,0,0.0,57,62857.48,4,2,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
129,Arthur Melo Barros,47105932805,93925542251,camargoemanuella@correia.com.br,5.02,3,1,1264329.98,3,1,1,453745.46,70,39673.58,7,2,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
